,City,State,Population,Latitude,Longitude,Cluster Labels,Cluster Names,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Mumbai,Maharashtra,13597924.0,18.9387711,72.8353355,0,Food Hubs,Café,Ice Cream Shop,Hotel,Indian Restaurant,Scenic Lookout,Cricket Ground,Pizza Place,Dessert Shop,Fast Food Restaurant,Diner
1,Delhi,Delhi,11007835.0,28.6517178,77.22193879999999,4,Indian Cuisine Restaurants,Indian Restaurant,Hotel,Lounge,Café,Monument / Landmark,Bar,South Indian Restaurant,Bakery,Molecular Gastronomy Restaurant,Boutique
2,Bengaluru,Karnataka,8425970.0,12.979119800000001,77.5912997,0,Food Hubs,Hotel,Ice Cream Shop,Park,Bakery,Department Store,Indian Restaurant,Pub,Steakhouse,Brewery,Breakfast Spot
3,Ahmedabad,Gujarat,7208200.0,23.0216238,72.5797068,0,Food Hubs,Café,Dessert Shop,Indian Restaurant,Tea Room,Multiplex,Clothing Store,Coffee Shop,History Museum,Snack Place,Fast Food Restaurant
4,Hyderabad,Telangana,6809970.0,17.38878595,78.46106473453145,0,Food Hubs,Indian Restaurant,Bakery,Ice Cream Shop,Hotel,South Indian Restaurant,Chaat Place,Multiplex,Café,Juice Bar,Snack Place
5,Chennai,Tamil Nadu,4681087.0,13.080172099999999,80.2838331,0,Food Hubs,Indian Restaurant,Italian Restaurant,Juice Bar,Hotel,Bar,Vegetarian / Vegan Restaurant,Café,Multiplex,Park,Gaming Cafe
6,Kolkata,West Bengal,4486679.0,22.54541245,88.3567751581234,0,Food Hubs,Chinese Restaurant,Hotel,Indian Restaurant,Indian Sweet Shop,Mughlai Restaurant,Dhaba,Shopping Mall,Bengali Restaurant,Nightclub,Bookstore
7,Pune,Maharashtra,3760636.0,18.521428,73.8544541,0,Food Hubs,Italian Restaurant,Bakery,Snack Place,Lounge,Indian Restaurant,Pub,Coffee Shop,South Indian Restaurant,Fast Food Restaurant,Ice Cream Shop
8,Jaipur,Rajasthan,3073350.0,26.916194,75.820349,0,Food Hubs,Hotel,Indian Restaurant,Historic Site,Café,Ice Cream Shop,Palace,Hostel,Tea Room,Lounge,Garden
9,Surat,Gujarat,2876374.0,21.186460699999998,72.80812809999999,0,Food Hubs,Indian Restaurant,Restaurant,Fast Food Restaurant,Multiplex,Chinese Restaurant,Tea Room,Café,Pizza Place,Ice Cream Shop,Hotel
10,Lucknow,Uttar Pradesh,2815601.0,26.8381,80.9346001,0,Food Hubs,Indian Restaurant,Fast Food Restaurant,Hotel,Shopping Mall,Bakery,Café,Pizza Place,Ice Cream Shop,Multiplex,Market
11,Kanpur,Uttar Pradesh,2767031.0,26.4609135,80.3217588,0,Food Hubs,Fast Food Restaurant,Shopping Mall,Café,Multiplex,Pizza Place,Bakery,Market,Diner,Train Station,Dessert Shop
12,Nagpur,Maharashtra,2405421.0,21.1498134,79.0820556,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Lounge,Hotel,Plaza,Coffee Shop,Shopping Mall,Snack Place,Sandwich Place
13,Patna,Bihar,2231554.0,25.609323899999996,85.1235252,0,Food Hubs,Pizza Place,Hotel,Café,Park,Indian Restaurant,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Department Store,Train Station
14,Indore,Madhya Pradesh,1960631.0,22.7203616,75.8681996,0,Food Hubs,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Hotel,Ice Cream Shop,Sandwich Place,Café,Multiplex,Shopping Mall,Pizza Place
15,Thane,Maharashtra,1818872.0,19.1943294,72.97017790000001,0,Food Hubs,Indian Restaurant,Coffee Shop,Dessert Shop,Pub,Café,Shopping Mall,Ice Cream Shop,Scenic Lookout,Gym / Fitness Center,Donut Shop
16,Bhopal,Madhya Pradesh,1795648.0,23.258485699999998,77.401989,0,Food Hubs,Pizza Place,Indian Restaurant,Bakery,Coffee Shop,Asian Restaurant,Fast Food Restaurant,Department Store,Café,Hotel,Train Station
17,Visakhapatnam,Andhra Pradesh,1730320.0,17.7231276,83.30128420000001,0,Food Hubs,Café,Hotel,Restaurant,Ice Cream Shop,Indian Restaurant,Multiplex,Coffee Shop,Snack Place,Mountain,Food Court
18,Vadodara,Gujarat,1666703.0,22.2973142,73.1942567,0,Food Hubs,Fast Food Restaurant,Indian Restaurant,Multiplex,Italian Restaurant,Café,Shopping Mall,Asian Restaurant,Sandwich Place,BBQ Joint,Snack Place
19,Firozabad,Uttar Pradesh,1645675.0,27.17736635,78.38991197951181,0,Food Hubs,Asian Restaurant,Bed & Breakfast,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
20,Ludhiana,Punjab,1613878.0,30.9090157,75.851601,0,Food Hubs,Café,Fast Food Restaurant,Shopping Mall,Multiplex,Pizza Place,Indian Restaurant,Coffee Shop,Sandwich Place,Clothing Store,Park
21,Rajkot,Gujarat,1606745.0,22.3051991,70.80283349999999,0,Food Hubs,Indian Restaurant,Pizza Place,Fast Food Restaurant,Hotel,Shopping Mall,Restaurant,Department Store,Tea Room,Playground,Multiplex
22,Agra,Uttar Pradesh,1574542.0,27.1752554,78.0098161,0,Food Hubs,Hotel,Indian Restaurant,Historic Site,Multicuisine Indian Restaurant,Fast Food Restaurant,Pizza Place,Coffee Shop,Café,Market,Resort
23,Siliguri,West Bengal,1572000.0,26.7164127,88.4309916,0,Food Hubs,Pizza Place,Multiplex,Train Station,Shopping Mall,Coffee Shop,Fast Food Restaurant,Sandwich Place,Food,Flea Market,Exhibit
24,Nashik,Maharashtra,1486973.0,20.0112475,73.79023640000001,0,Food Hubs,Indian Restaurant,Café,Hotel,Pizza Place,Bakery,Juice Bar,Multiplex,Shopping Mall,Breakfast Spot,Snack Place
25,Faridabad,Haryana,1404653.0,28.402836999999998,77.30856259999999,0,Food Hubs,Pizza Place,Hotel,Indian Restaurant,Fast Food Restaurant,Multiplex,Shopping Mall,Café,Restaurant,Train Station,Fried Chicken Joint
26,Patiala,Punjab,1354686.0,30.2090874,76.33987208562209,0,Food Hubs,Toll Booth,Stadium,Hotel,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
27,Meerut,Uttar Pradesh,1309023.0,28.916666999999997,77.68333299999999,0,Food Hubs,Indian Restaurant,Juice Bar,Food Court,Fried Chicken Joint,Flea Market,Fast Food Restaurant,Market,Café,Restaurant,Sandwich Place
28,Kalyan-Dombivali,Maharashtra,1246381.0,19.2334875,73.1182464,0,Food Hubs,Café,Fast Food Restaurant,Pizza Place,Ice Cream Shop,Indian Restaurant,Juice Bar,Hookah Bar,Garden,Food Court,Beer Garden
29,Vasai-Virar,Maharashtra,1221233.0,19.4258788,72.8224901,0,Food Hubs,Indian Restaurant,Fast Food Restaurant,Restaurant,Pizza Place,Ice Cream Shop,Multiplex,Beach,Asian Restaurant,Dhaba,Theme Park
30,Varanasi,Uttar Pradesh,1201815.0,25.3356491,83.0076292,0,Food Hubs,Hotel,Indian Restaurant,Pizza Place,Café,Hostel,History Museum,Shopping Mall,Dessert Shop,Temple,Historic Site
31,Srinagar,Jammu and Kashmir,1192792.0,34.07474439999999,74.82044429999999,0,Food Hubs,Garden,Café,Hotel,Shopping Mall,Indian Restaurant,Resort,Lake,Park,Chinese Restaurant,Mountain
32,Dhanbad,Jharkhand,1161561.0,23.795280899999998,86.43096379999999,0,Food Hubs,Pizza Place,Train Station,Clothing Store,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
33,Jodhpur,Rajasthan,1137000.0,26.2967719,73.0351433,0,Food Hubs,Hotel,Indian Restaurant,Café,Bed & Breakfast,Restaurant,Fast Food Restaurant,Historic Site,Park,Multiplex,Lounge
34,Amritsar,Punjab,1132761.0,31.634308299999997,74.8736788,0,Food Hubs,Indian Restaurant,Pizza Place,Hotel,Fast Food Restaurant,Café,Shopping Mall,Diner,Resort,Coffee Shop,Museum
35,Raipur,Chhattisgarh,1122555.0,21.237946899999997,81.6336833,0,Food Hubs,Café,Hotel,Multiplex,Shopping Mall,Fast Food Restaurant,Pizza Place,Indian Restaurant,Pub,Department Store,Italian Restaurant
36,Allahabad,Uttar Pradesh,1117094.0,25.4381302,81.8338005,0,Food Hubs,Train Station,Fast Food Restaurant,Pizza Place,Clothing Store,River,Restaurant,Shopping Mall,Multiplex,Café,Airport
37,Coimbatore,Tamil Nadu,1061447.0,11.0018115,76.96284250000001,0,Food Hubs,Indian Restaurant,Ice Cream Shop,Hotel,Vegetarian / Vegan Restaurant,Asian Restaurant,Italian Restaurant,Café,Multiplex,Shopping Mall,Burger Joint
38,Jabalpur,Madhya Pradesh,1054336.0,23.1608938,79.9497702,0,Food Hubs,Café,Fast Food Restaurant,Pizza Place,Asian Restaurant,Clothing Store,Shopping Mall,Chinese Restaurant,Exhibit,Fabric Shop,Factory
39,Gwalior,Madhya Pradesh,1053505.0,26.2037247,78.1573628,0,Food Hubs,Train Station,Historic Site,Multiplex,Shopping Mall,Fast Food Restaurant,History Museum,Café,Coffee Shop,Pizza Place,Food & Drink Shop
40,Vijayawada,Andhra Pradesh,1048240.0,16.5087586,80.6185102,0,Food Hubs,Indian Restaurant,Multiplex,Hotel,Coffee Shop,Ice Cream Shop,Fast Food Restaurant,Shopping Mall,Bakery,Pizza Place,Café
41,Madurai,Tamil Nadu,1016885.0,9.926115300000001,78.1140983,4,Indian Cuisine Restaurants,Indian Restaurant,Hotel,Shopping Mall,Movie Theater,Café,Bakery,Multiplex,Ice Cream Shop,Cupcake Shop,Fried Chicken Joint
42,Guwahati,Assam,963429.0,26.1805978,91.753943,0,Food Hubs,Coffee Shop,Pizza Place,Clothing Store,Fast Food Restaurant,Hotel,Indian Restaurant,Chinese Restaurant,Café,Lounge,Asian Restaurant
43,Chandigarh,Chandigarh,960787.0,30.67426765,76.79111131528913,0,Food Hubs,Café,Hotel,Indian Restaurant,Bakery,American Restaurant,Multiplex,Chinese Restaurant,Clothing Store,Sporting Goods Shop,Spanish Restaurant
44,Hubli-Dharwad,Karnataka,943857.0,15.3518378,75.1379848,0,Food Hubs,Hotel,Indian Restaurant,Café,Shopping Mall,Diner,Food Court,Food,Multiplex,Breakfast Spot,Fast Food Restaurant
45,Amroha,Uttar Pradesh,897135.0,28.923396899999997,78.48831693262684,2,ATM Hubs,ATM,Pharmacy,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
