Name of City,State,Population (2011)
Mumbai,Maharashtra,"1,35,97,924"
Delhi,Delhi,"1,10,07,835"
Bengaluru,Karnataka,"84,25,970"
Ahmedabad,Gujarat,"72,08,200"
Hyderabad,Telangana,"68,09,970"
Chennai,Tamil Nadu,"46,81,087"
Kolkata,West Bengal,"44,86,679"
Pune,Maharashtra,"37,60,636"
Jaipur,Rajasthan,"30,73,350"
Surat,Gujarat,"28,76,374"
Lucknow,Uttar Pradesh,"28,15,601"
Kanpur,Uttar Pradesh,"27,67,031"
Nagpur,Maharashtra,"24,05,421"
Patna,Bihar,"22,31,554"
Indore,Madhya Pradesh,"19,60,631"
Thane,Maharashtra,"18,18,872"
Bhopal,Madhya Pradesh,"17,95,648"
Visakhapatnam,Andhra Pradesh,"17,30,320"
Vadodara,Gujarat,"16,66,703"
Firozabad,Uttar Pradesh,"16,45,675"
Ludhiana,Punjab,"16,13,878"
Rajkot,Gujarat,"16,06,745"
Agra,Uttar Pradesh,"15,74,542"
Siliguri,West Bengal,"15,72,000"
Nashik,Maharashtra,"14,86,973"
Faridabad,Haryana,"14,04,653"
Patiala,Punjab,"13,54,686"
Meerut,Uttar Pradesh,"13,09,023"
Kalyan-Dombivali,Maharashtra,"12,46,381"
Vasai-Virar,Maharashtra,"12,21,233"
Varanasi,Uttar Pradesh,"12,01,815"
Srinagar,Jammu and Kashmir,"11,92,792"
Dhanbad,Jharkhand,"11,61,561"
Jodhpur,Rajasthan,"11,37,000"
Amritsar,Punjab,"11,32,761"
Raipur,Chhattisgarh,"11,22,555"
Allahabad,Uttar Pradesh,"11,17,094"
Coimbatore,Tamil Nadu,"10,61,447"
Jabalpur,Madhya Pradesh,"10,54,336"
Gwalior,Madhya Pradesh,"10,53,505"
Vijayawada,Andhra Pradesh,"10,48,240"
Madurai,Tamil Nadu,"10,16,885"
Guwahati,Assam,"9,63,429"
Chandigarh,Chandigarh,"9,60,787"
Hubli-Dharwad,Karnataka,"9,43,857"
Amroha,Uttar Pradesh,"8,97,135"
Moradabad,Uttar Pradesh,"8,89,810"
Gurgaon,Haryana,"8,76,824"
Aligarh,Uttar Pradesh,"8,72,575"
Solapur,Maharashtra,"8,72,478"
Ranchi,Jharkhand,"8,63,495"
Jalandhar,Punjab,"8,62,196"
Tiruchirappalli,Tamil Nadu,"8,46,915"
Bhubaneswar,Odisha,"8,37,737"
Salem,Tamil Nadu,"8,31,038"
Warangal,Telangana,"8,19,429"
Mira-Bhayandar,Maharashtra,"8,14,655"
Thiruvananthapuram,Kerala,"7,52,490"
Bhiwandi,Maharashtra,"7,11,329"
Saharanpur,Uttar Pradesh,"7,03,345"
Guntur,Andhra Pradesh,"6,51,382"
Amravati,Maharashtra,"6,46,801"
Bikaner,Rajasthan,"6,44,406"
Noida,Uttar Pradesh,"6,42,381"
Jamshedpur,Jharkhand,"6,29,659"
Bhilai Nagar,Chhattisgarh,"6,25,697"
Cuttack,Odisha,"6,06,007"
Kochi,Kerala,"6,01,574"
Udaipur,Rajasthan,"5,98,483"
Bhavnagar,Gujarat,"5,93,768"
Dehradun,Uttarakhand,"5,78,420"
Asansol,West Bengal,"5,64,491"
Nanded-Waghala,Maharashtra,"5,50,564"
Ajmer,Rajasthan,"5,42,580"
Jamnagar,Gujarat,"5,29,308"
Ujjain,Madhya Pradesh,"5,15,215"
Sangli,Maharashtra,"5,13,862"
Loni,Uttar Pradesh,"5,12,296"
Jhansi,Uttar Pradesh,"5,07,293"
Pondicherry,Puducherry,"5,05,959"
Nellore,Andhra Pradesh,"5,05,258"
Jammu,Jammu and Kashmir,"5,03,690"
Belagavi,Karnataka,"4,88,292"
Raurkela,Odisha,"4,84,874"
Mangaluru,Karnataka,"4,84,785"
Tirunelveli,Tamil Nadu,"4,74,838"
Malegaon,Maharashtra,"4,71,006"
Gaya,Bihar,"4,63,454"
Tiruppur,Tamil Nadu,"4,44,543"
Davanagere,Karnataka,"4,35,128"
Kozhikode,Kerala,"4,32,097"
Akola,Maharashtra,"4,27,146"
Kurnool,Andhra Pradesh,"4,24,920"
Bokaro Steel City,Jharkhand,"4,13,934"
Rajahmundry,Andhra Pradesh,"4,13,616"
Ballari,Karnataka,"4,09,644"
Agartala,Tripura,"3,99,688"
Bhagalpur,Bihar,"3,98,138"
Latur,Maharashtra,"3,82,754"
Dhule,Maharashtra,"3,76,093"
Korba,Chhattisgarh,"3,63,210"
Bhilwara,Rajasthan,"3,60,009"
Brahmapur,Odisha,"3,55,823"
Mysore,Karnatka,"3,51,838"
Muzaffarpur,Bihar,"3,51,838"
Ahmednagar,Maharashtra,"3,50,905"
Kollam,Kerala,"3,49,033"
Raghunathganj,West Bengal,"3,46,854"
Bilaspur,Chhattisgarh,"3,30,106"
Shahjahanpur,Uttar Pradesh,"3,21,885"
Thrissur,Kerala,"3,15,596"
Alwar,Rajasthan,"3,15,310"
Kakinada,Andhra Pradesh,"3,12,255"
Nizamabad,Telangana,"3,10,467"
Sagar,Madhya Pradesh,"3,08,922"
Tumkur,Karnataka,"3,05,821"
Hisar,Haryana,"3,01,249"
Rohtak,Haryana,"2,94,577"
Panipat,Haryana,"2,94,150"
Darbhanga,Bihar,"2,94,116"
Kharagpur,West Bengal,"2,93,719"
Aizawl,Mizoram,"2,91,822"
Ichalkaranji,Maharashtra,"2,87,570"
Tirupati,Andhra Pradesh,"2,87,035"
Karnal,Haryana,"2,86,974"
Bathinda,Punjab,"2,85,813"
Rampur,Uttar Pradesh,"2,81,494"
Shivamogga,Karnataka,"2,74,352"
Ratlam,Madhya Pradesh,"2,73,892"
Modinagar,Uttar Pradesh,"2,72,918"
Durg,Chhattisgarh,"2,68,679"
Shillong,Meghalaya,"2,67,662"
Imphal,Manipur,"2,64,986"
Hapur,Uttar Pradesh,"2,62,801"
Ranipet,Tamil Nadu,"2,62,346"
Anantapur,Andhra Pradesh,"2,62,340"
Arrah,Bihar,"2,61,099"
Karimnagar,Telangana,"2,60,899"
Parbhani,Maharashtra,"2,59,329"
Etawah,Uttar Pradesh,"2,56,790"
Bharatpur,Rajasthan,"2,52,109"
Begusarai,Bihar,"2,51,136"
New Delhi,Delhi,"2,49,998"
Chhapra,Bihar,"2,49,555"
Kadapa,Andhra Pradesh,"2,41,823"
Ramagundam,Telangana,"2,37,686"
Pali,Rajasthan,"2,29,956"
Satna,Madhya Pradesh,"2,29,307"
Vizianagaram,Andhra Pradesh,"2,28,025"
Katihar,Bihar,"2,25,982"
Hardwar,Uttarakhand,"2,25,235"
Sonipat,Haryana,"2,25,074"
Nagercoil,Tamil Nadu,"2,24,329"
Thanjavur,Tamil Nadu,"2,22,619"
Murwara (Katni),Madhya Pradesh,"2,21,875"
Naihati,West Bengal,"2,21,762"
Sambhal,Uttar Pradesh,"2,21,334"
Nadiad,Gujarat,"2,18,150"
Yamunanagar,Haryana,"2,16,628"
English Bazar,West Bengal,"2,16,083"
Eluru,Andhra Pradesh,"2,14,414"
Munger,Bihar,"2,13,101"
Panchkula,Haryana,"2,10,175"
Raayachuru,Karnataka,"2,07,421"
Panvel,Maharashtra,"2,04,336"
Deoghar,Jharkhand,"2,03,116"
